"geoid","ntacode","ntaname","lat","lon"
"360050444003","BX62","Woodlawn-Wakefield",40.8982571907003,-73.8442807992271
"360050449012","BX62","Woodlawn-Wakefield",40.8968107417814,-73.8737637691096
"360050451012","BX62","Woodlawn-Wakefield",40.8970587441122,-73.8638271292685
"360050430002","BX62","Woodlawn-Wakefield",40.8947109686945,-73.8501307103305
"360050426004","BX62","Woodlawn-Wakefield",40.8925556447434,-73.8383188912763
"360050307012","BX22","North Riverdale-Fieldston-Riverdale",40.8911372596322,-73.910407266972
"360471118001","BK82","East New York",40.6695416416701,-73.876040937144
"360050335003","BX22","North Riverdale-Fieldston-Riverdale",40.8880804398682,-73.9044942566656
"360050406001","BX44","Williamsbridge-Olinville",40.8874923704027,-73.8555671479758
"360050396004","BX44","Williamsbridge-Olinville",40.8859387689779,-73.8598109159734
"360050396001","BX44","Williamsbridge-Olinville",40.8850253813366,-73.8569336447366
"360050279006","BX28","Van Cortlandt Village",40.8838814051177,-73.8970329670684
"360050396003","BX44","Williamsbridge-Olinville",40.8841784830552,-73.8607857199923
"360050281001","BX28","Van Cortlandt Village",40.8837848834109,-73.8916447357208
"360050392002","BX44","Williamsbridge-Olinville",40.8833839908928,-73.8640675279899
"360050429021","BX43","Norwood",40.8772721798687,-73.8731658610306
"360050396002","BX44","Williamsbridge-Olinville",40.8832613820717,-73.857910465386
"360050398001","BX44","Williamsbridge-Olinville",40.8822727248833,-73.8521649756253
"360050431007","BX43","Norwood",40.8821763382579,-73.8781948529672
"360050390001","BX44","Williamsbridge-Olinville",40.8807992110044,-73.8592718606728
"360050421001","BX43","Norwood",40.880521432119,-73.8793686957281
"360050388001","BX44","Williamsbridge-Olinville",40.8792074056739,-73.8540950901414
"360050293022","BX29","Spuyten Duyvil-Kingsbridge",40.8787346654831,-73.9184848750448
"360050380004","BX44","Williamsbridge-Olinville",40.8776248264649,-73.8637140475578
"360050423001","BX43","Norwood",40.8794046157417,-73.8760334598559
"360470112002","BK34","Sunset Park East",40.6407577349803,-73.9956635015778
"360850138001","SI25","Oakwood-Oakwood Beach",40.5701285715128,-74.1398446220585
"360050431005","BX43","Norwood",40.8794686640862,-73.8722498503291
"360050419001","BX43","Norwood",40.8790350788072,-73.8802640476258
"360050358001","BX03","Eastchester-Edenwald-Baychester",40.876802816924,-73.8436365650949
"360050374002","BX44","Williamsbridge-Olinville",40.8745836026415,-73.8670822905505
"360050273002","BX28","Van Cortlandt Village",40.8756993975926,-73.9016478687588
"360050358006","BX03","Eastchester-Edenwald-Baychester",40.8747629345947,-73.8461964809406
"360050368002","BX44","Williamsbridge-Olinville",40.8757069239652,-73.858386642157
"360050267023","BX28","Van Cortlandt Village",40.8738647725305,-73.9010868882072
"360050429013","BX43","Norwood",40.8743621596659,-73.8757096208453
"360050411003","BX05","Bedford Park-Fordham North",40.8738085151123,-73.8879756775348
"360050370001","BX44","Williamsbridge-Olinville",40.8728288844988,-73.8574849402693
